Dates,Portolfio,Benchmark 
11/23/2021,200.2,150.0244961
11/24/2021,200.37,150.289921
11/25/2021,202.7,150.289921
11/26/2021,199.38,148.0606808
11/27/2021,196.63,148.0606808
11/28/2021,196.63,148.0606808
11/29/2021,197.37,149.2862176
11/30/2021,196.35,147.3434677
12/1/2021,194.89,146.2332074
12/2/2021,194.98,147.762437
12/3/2021,194.98,146.8901777
12/4/2021,186.43,146.8901777
12/5/2021,185.39,146.8901777
12/6/2021,188.84,148.077849
12/7/2021,188.84,150.1449465
12/8/2021,188.84,150.410322
12/9/2021,188.84,149.7370307
12/10/2021,188.84,150.6766782
12/11/2021,188.84,150.6766782
12/12/2021,188.84,150.6766782
12/13/2021,188.84,149.7920914
12/14/2021,189,149.1005349
12/15/2021,191.58,150.6626673
12/16/2021,188.35,149.7824264
12/17/2021,188.35,148.7167568
12/18/2021,185.8,148.7167568
12/19/2021,184.96,148.7167568
12/20/2021,184.02,147.6537814
12/21/2021,188.52,149.4301161
12/22/2021,189.87,150.4294592
12/23/2021,192.97,151.0519333
12/24/2021,192.97,151.0519333
12/25/2021,195.8,151.0519333
12/26/2021,196.32,151.0519333
12/27/2021,197.31,152.4692271
12/28/2021,193.47,152.3872897
12/29/2021,191.5,152.5148524
12/30/2021,193.42,152.2373021
12/31/2021,193.42,151.9863553
1/1/2022,195.58,151.9863553
1/2/2022,195.81,151.9863553
1/3/2022,195.41,152.567272
1/4/2022,193.03,152.5308902
1/5/2022,187.39,150.6110503
1/6/2022,188.16,150.5182816
1/7/2022,188.16,150.1236486
1/8/2022,184.92,150.1236486
1/9/2022,185.51,150.1236486
1/10/2022,183.53,149.997798
1/11/2022,187.33,150.9078647
1/12/2022,189.95,151.1807349
1/13/2022,186.76,149.8016473
1/14/2022,184.67,149.8437387
1/15/2022,182.69,149.8437387
1/16/2022,183.38,149.8437387
1/17/2022,181.55,149.8437387
1/18/2022,179.8,148.0719656
1/19/2022,178.59,147.0344632
1/20/2022,177.02,145.9283749
1/21/2022,167.56,143.9637766
1/22/2022,167.56,143.9637766
1/23/2022,169.68,143.9637766
1/24/2022,168.35,144.3854035
1/25/2022,167.56,143.1653492
1/26/2022,166.28,142.9153242
1/27/2022,164.94,142.4240469
1/28/2022,165.82,144.9076741
1/29/2022,167.91,144.9076741
1/30/2022,167.91,144.9076741
1/31/2022,167.91,146.7068188
2/1/2022,167.91,147.3828533
2/2/2022,165.05,148.3517247
2/3/2022,162.88,146.0050429
2/4/2022,162.88,146.4720371
2/5/2022,167.65,146.4720371
2/6/2022,167.65,146.4720371
2/7/2022,169.22,146.1524709
2/8/2022,170.54,146.9733773
2/9/2022,173.14,148.4380141
2/10/2022,175.74,146.6431423
2/11/2022,175.74,144.6704123
2/12/2022,168.96,144.6704123
2/13/2022,162.25,144.6704123
2/14/2022,161.54,144.3448722
2/15/2022,161.95,145.9580947
2/16/2022,168.16,146.0701041
2/17/2022,163.09,143.9297139
2/18/2022,158.42,143.2834943
2/19/2022,150.84,143.2834943
2/20/2022,143.16,143.2834943
2/21/2022,140.63,143.2834943
2/22/2022,137.8,142.2127984
2/23/2022,134.97,140.4376505
2/24/2022,132.07,141.9411001
2/25/2022,134.07,144.1476539
2/26/2022,138.73,144.1476539
2/27/2022,143.39,144.1476539
2/28/2022,141.44,143.8945396
3/1/2022,146.87,142.372
3/2/2022,148.01,144.2111269
3/3/2022,147.53,143.7100354
3/4/2022,144.88,142.8972705
3/5/2022,136.91,142.8972705
3/6/2022,129.84,142.8972705
3/7/2022,128.1,139.9513626
3/8/2022,124.98,139.1951211
3/9/2022,125.47,141.8725741
3/10/2022,131.16,141.4201774
3/11/2022,127.34,140.1487313
3/12/2022,120.55,140.1487313
3/13/2022,113.85,140.1487313
3/14/2022,112.43,139.4194838
3/15/2022,112.07,141.6180876
3/16/2022,113.18,143.8356651
3/17/2022,117.91,145.087473
3/18/2022,117.91,146.1809613
3/19/2022,117.91,146.1809613
3/20/2022,120.26,146.1809613
3/21/2022,118.84,146.1517272
3/22/2022,118.93,147.3263056
3/23/2022,121.05,146.0352993
3/24/2022,121.81,147.5432784
3/25/2022,122.57,148.0336631
3/26/2022,123.33,148.0336631
3/27/2022,123.33,148.0336631
3/28/2022,125.94,148.7417293
3/29/2022,126.49,149.9816343
3/30/2022,127.89,149.3622358
3/31/2022,127.78,147.8229752
4/1/2022,125.88,148.1059081
4/2/2022,125.4,148.1059081
4/3/2022,124.28,148.1059081
4/4/2022,125.48,148.961876
4/5/2022,125.49,147.7006745
4/6/2022,124.34,146.701875
4/7/2022,120.27,147.2063131
4/8/2022,120.87,146.9360559
4/9/2022,119.23,146.9360559
4/10/2022,118.16,146.9360559
4/11/2022,117.89,145.2278536
4/12/2022,116.85,144.8586138
4/13/2022,117.09,146.0050287
4/14/2022,117.81,144.7592424
4/15/2022,117.06,144.7592424
4/16/2022,116.46,144.7592424
4/17/2022,115.84,144.7592424
4/18/2022,115.22,144.798819
4/19/2022,115.48,146.4109246
4/20/2022,116.2,146.3379248
4/21/2022,115.8,144.8427706
4/22/2022,114.89,142.0987778
4/23/2022,113.98,142.0987778
4/24/2022,113.07,142.0987778
4/25/2022,113.08,142.6783111
4/26/2022,113.26,139.7821776
4/27/2022,111.41,140.063252
4/28/2022,111.48,142.5910211
4/29/2022,112.58,138.8953799
4/30/2022,112.17,138.8953799
5/1/2022,110.7,138.8953799
5/2/2022,110.29,139.4946545
5/3/2022,110.59,139.9544967
5/4/2022,110.28,143.0026111
5/5/2022,111.97,139.4439821
5/6/2022,109.11,138.8473109
5/7/2022,105.53,138.8473109
5/8/2022,101.45,138.8473109
5/9/2022,100.45,135.6459629
5/10/2022,94.57,135.879862
5/11/2022,95.99,134.2898039
5/12/2022,92.28,134.1850284
5/13/2022,98.53,136.5753126
5/14/2022,104.78,136.5753126
5/15/2022,112.1,136.5753126
5/16/2022,114.07,136.1709564
5/17/2022,110.67,138.2280126
5/18/2022,114.27,134.196824
5/19/2022,105.82,133.583327
5/20/2022,107.82,133.627816
5/21/2022,108.89,133.627816
5/22/2022,110.34,133.627816
5/23/2022,111.24,135.5010789
5/24/2022,110.42,134.7371786
5/25/2022,110.27,135.6169279
5/26/2022,110.81,137.6172549
5/27/2022,114.13,140.0699641
5/28/2022,120.99,140.0699641
5/29/2022,128.28,140.0699641
5/30/2022,128.9,140.0699641
5/31/2022,131.71,139.5118877
6/1/2022,130.91,138.7041671
6/2/2022,127.15,140.6077204
6/3/2022,131.91,138.962847
6/4/2022,132.2,138.962847
6/5/2022,132.63,138.962847
6/6/2022,132.62,139.2688349
6/7/2022,134.33,140.2313342
6/8/2022,133.03,139.1425657
6/9/2022,131.73,136.7619896
6/10/2022,122.88,133.8647681
6/11/2022,113.19,133.8647681
6/12/2022,111.23,133.8647681
6/13/2022,104.97,130.069902
6/14/2022,104.38,129.763809
6/15/2022,106.08,131.1889046
6/16/2022,102.41,127.881845
6/17/2022,99.3,128.1004048
6/18/2022,94.35,128.1004048
6/19/2022,96.38,128.1004048
6/20/2022,98.41,128.1004048
6/21/2022,98.79,130.6172031
6/22/2022,98.29,130.4332211
6/23/2022,100.26,131.4124273
6/24/2022,103.7,134.5953604
6/25/2022,107.54,134.5953604
6/26/2022,106.9,134.5953604
6/27/2022,106.38,134.2139131
6/28/2022,104.89,132.1661884
6/29/2022,104.31,132.0868728
6/30/2022,103.77,131.2760773
7/1/2022,102.9,132.3335827
7/2/2022,102.01,132.3335827
7/3/2022,102.09,132.3335827
7/4/2022,103.35,132.3335827
7/5/2022,104.61,132.5202449
7/6/2022,105.03,132.8589982
7/7/2022,106.82,134.3557347
7/8/2022,108.36,134.2725769
7/9/2022,109.94,134.2725769
7/10/2022,109.03,134.2725769
7/11/2022,107.08,133.1295929
7/12/2022,106.18,132.248412
7/13/2022,107.33,131.7217982
