Dates,Portolfio,Benchmark ,,,
3/17/2022,113.18,142.0539349,,,
3/18/2022,117.91,146.6675222,,,
3/19/2022,117.91,147.0071677,,,
3/20/2022,117.91,148.2588311,,,
3/21/2022,120.26,151.0723057,,,
3/22/2022,118.84,149.2516119,,,
3/23/2022,118.93,147.5631018,,,
3/24/2022,121.05,150.3029616,,,
3/25/2022,121.81,153.1643434,,,
3/26/2022,122.57,155.3467466,,,
3/27/2022,123.33,157.4116901,,,
3/28/2022,123.33,156.3125185,,,
3/29/2022,125.94,159.2946104,,,
3/30/2022,126.49,161.5946832,,,
3/31/2022,127.89,163.5040852,,,
4/1/2022,127.78,161.8188607,,,
4/2/2022,125.88,160.1211918,,,
4/3/2022,125.4,159.5084169,,,
4/4/2022,124.28,159.5549617,,,
4/5/2022,125.48,159.7693505,,,
4/6/2022,125.49,159.5756333,,,
4/7/2022,124.34,157.8082826,,,
4/8/2022,120.27,157.4312871,,,
4/9/2022,120.87,158.6984161,,,
4/10/2022,119.23,156.2548181,,,
4/11/2022,118.16,156.817217,,,
4/12/2022,117.89,156.7109027,,,
4/13/2022,116.85,155.8614879,,,
4/14/2022,117.09,157.5228086,,,
4/15/2022,117.81,157.7627555,,,
4/16/2022,117.06,156.6581052,,,
4/17/2022,116.46,157.8788084,,,
4/18/2022,115.84,158.749794,,,
4/19/2022,115.22,157.1390172,,,
